CODICE_COMUNE,num_strade,num_civici,num_civici_con_coord,CODICE_ISTAT
A424,104,610,0,007004
A425,140,1783,0,075007
A427,31,420,0,103004
A429,256,5110,0,003008
A430,82,1372,0,013012
A431,52,1073,0,062005
A432,50,761,0,062006
A433,206,3304,0,060010
A434,51,1122,0,028005
A435,78,1545,0,029003
A436,134,1600,0,006009
A437,51,2019,0,044006
A438,38,1126,0,028006
A439,80,2013,0,055005
A440,87,1622,0,016013
A441,79,1307,0,012005
A443,175,2012,0,025004
A444,143,2337,0,024007
A445,49,792,0,067003
A446,57,669,0,058010
A447,54,2349,0,030005
A448,55,2186,0,030006
A449,231,8037,0,058011
A451,57,1991,0,017007
A452,57,970,0,007005
A453,535,7060,0,090006
A454,185,1428,5,091002
A455,208,5593,0,063005
A458,50,2069,0,028007
A459,436,14054,0,024008
A460,209,3347,0,065009
A461,495,3678,0,052002
A462,809,15298,0,044007
A463,423,3936,7,071005
A464,55,739,0,057004
A465,243,5430,4081,024009
A466,65,904,0,002007
A467,26,404,0,024010
A468,740,4761,0,052033
A470,187,6444,0,020002
A471,162,4230,0,026003
A472,83,1561,0,057012
A473,92,1403,0,015011
A474,390,11121,0,092003
A475,645,14733,0,054001
A476,78,1059,0,013013
A477,37,513,0,095008
A478,165,4967,0,086003
A479,814,27019,2212,005005
A480,29,317,0,095009
A481,59,997,0,066005
A482,178,5909,0,076006
A484,120,2688,0,065010
A485,253,8272,0,069005
A486,202,2062,0,060011
A487,51,766,0,065011
A488,459,4755,9,067004
A489,113,4152,65,064006
A490,52,1409,0,055006
A491,66,1536,0,030007
A492,76,1430,0,091003
A494,569,10790,0,089001
A495,183,1986,0,065012
A496,252,5521,0,045001
A497,27,485,0,103005
A499,25,361,0,008005
A501,66,1974,1,025005
A502,132,2195,0,060012
A503,83,966,0,091004
A506,85,1987,0,010002
A507,12,446,0,021005
A508,164,4725,0,064007
A509,418,16622,1611,064008
A511,23,441,0,016014
A512,371,12437,0,061005
A514,566,3114,0,073001
A515,839,20713,1,066006
A516,254,7231,0,093004
A517,28,637,0,016015
A518,203,5393,0,001013
A519,361,9637,0,076007
A520,79,1444,0,022007
A521,32,513,0,007006
A522,877,21287,0,089002
A523,32,326,0,006010
A525,33,786,0,001014
A526,29,455,0,019004
A527,23,229,0,005006
A528,100,1830,0,016016
A529,73,1363,0,017008
A530,200,7754,0,093005
A531,79,1431,141,012006
A532,34,403,0,012007
A533,47,248,0,016017
A534,87,1664,8,103006
A535,151,7437,0,063006
A536,110,1892,0,008006
A537,100,1520,0,021006
A538,18,302,0,018006
A539,226,8274,0,029004
A540,191,2051,0,023005
A541,166,1308,0,051003
A542,198,3320,0,079008
A544,64,1151,0,080006
A546,826,29829,0,082006
A547,413,12434,12434,039002
A550,47,671,0,018007
A551,58,1322,1322,039003
A552,294,3888,44,080007
A553,75,1664,2,030008
A555,33,1076,0,004008
A557,76,1146,0,016018
A560,487,5133,0,046002
A561,316,12220,0,047011
A562,588,18328,0,050031
A564,249,9450,0,048001
A565,761,3538,194,040001
A566,105,2930,0,064009
A567,104,3603,0,094003
A568,53,1679,0,028008
A569,201,5493,0,017009
A570,101,1670,1,019005
A571,162,6076,0,004009
A572,88,1562,0,075008
A573,164,3468,0,035002
A574,20,751,0,029005
A575,130,2594,0,020003
A576,167,2476,0,045002
A577,248,1807,0,056003
A578,102,3010,0,017010
A579,124,2356,0,061006
A580,74,2751,0,064010
A581,57,708,0,008007
A584,44,368,0,001015
A586,192,2686,0,035003
A587,41,1774,0,001016
A588,26,652,0,005007
A589,12,697,0,004010
A590,37,361,361,001017
A591,47,884,0,001018
A592,119,4442,0,082007
A593,63,526,0,009008
A594,94,1223,0,097004
A597,74,1045,0,111003
A599,10,357,0,001019
A600,13,144,0,002008
A601,36,153,1,002009
A603,108,1333,1301,066007
A604,102,1358,2,076008
A605,51,1346,3,006011
A606,62,748,0,090007
A607,24,1019,0,001020
A609,40,393,0,095073
A610,83,599,0,103007
A612,108,1683,0,076009
A613,80,1803,0,028009
A614,24,171,171,095010
A615,91,2140,0,076010
A616,94,1387,0,070002
A617,136,4350,0,063007
A618,75,893,0,015250
A619,33,506,6,012008
A621,66,727,0,095011
A625,65,916,28,001021
A626,29,1204,0,042004
A628,73,658,0,056004
A629,28,448,0,004011
A630,72,842,0,017011
A631,52,321,0,016019
A632,177,4628,0,048002
A634,41,873,0,018008
A635,34,682,0,021007
A637,18,350,5,028010
A638,1087,31182,0,083005
A640,60,679,0,093006
A643,30,268,0,007009
A646,347,2403,0,034002
A647,53,809,0,009009
A650,408,4302,0,023006
A651,143,1996,0,001022
A652,195,4973,5,015012
A653,43,496,0,003012
A655,64,865,0,095012
A656,83,1203,2,066008
A657,441,5596,0,046003
A658,54,2160,0,010003
A660,166,4124,0,004012
A661,35,945,0,017012
A662,2383,72906,75,072006
A663,304,4376,0,091005
A664,92,1391,0,016020
A665,70,3023,0,037003
A666,134,2064,0,076011
A667,200,2664,1,066009
A668,100,2284,0,108005
A669,550,24856,0,110002
A670,31,322,0,013015
A671,52,416,0,004013
A673,37,265,0,001023
A674,153,5340,0,065013
A676,543,7544,0,086004
A677,54,686,0,111004
A678,29,1220,115,066010
A681,77,1317,9,111005
A683,50,896,0,097005
A684,26,684,0,016021
A686,50,1494,1493,097006
A687,101,1401,1078,097007
A689,82,1051,0,006012
A690,62,743,0,018009
A691,301,2992,43,055007
A692,67,2064,2059,067005
A694,154,2974,0,022009
A696,100,1530,0,062007
A697,48,595,0,015014
A698,116,1954,0,083006
A699,93,5040,0,015015
A700,156,5075,0,030009
A701,124,3271,0,056055
A702,31,766,0,017013
A703,657,26373,0,024012
A704,184,3362,0,056005
A705,32,400,0,012129
A706,79,2049,0,056006
A707,77,968,0,059002
A708,105,1346,0,006013
A709,71,473,14,004014
A710,354,12385,99,054002
A712,33,673,0,018011
A713,59,1153,0,036001
A714,64,1306,1288,028011
A716,26,374,0,004015
A717,433,14789,0,065014
A718,24,401,0,018012
A719,122,2924,1686,082008
A720,127,2737,0,060014
A721,51,854,0,095013
A722,244,3810,0,091006
A725,114,1809,0,103008
A728,25,411,0,012010
A729,161,4306,0,017014
A730,49,1047,0,022011
A731,159,4413,0,034003
A732,20,479,0,016022
A733,51,621,0,103009
A734,152,3175,3,001024
A735,62,1185,1,004016
A736,115,1007,0,079009
A737,58,1175,0,023007
A738,64,332,0,006014
A739,91,1479,0,043004
A740,52,501,0,041005
A741,115,4875,0,018013
A742,45,558,6,103010
A743,279,2107,0,076012
A745,102,1366,77,097008
A746,161,3029,1,067006
A747,349,9403,0,099001
A749,81,1217,0,058012
A750,47,421,0,004017
A751,58,966,0,015016
A752,149,3517,3514,003016
A755,93,4732,0,061007
A756,66,1586,2,065015
A757,390,14719,0,025006
A759,104,2645,0,108006
A760,17,388,0,109003
A761,66,1033,0,094004
A762,102,2423,0,078013
A763,106,653,0,060013
A764,288,8632,1,082009
A765,38,404,0,057005
A766,619,13132,0,087007
A768,41,605,0,078014
A769,86,1258,0,042005
A770,18,393,0,005008
A771,290,4708,0,037033
A772,126,3061,0,101001
A773,135,6500,0,078015
A774,34,185,0,004018
A776,44,761,0,091007
A777,92,221,0,014006
A778,31,288,283,013021
A779,69,1967,2,004019
A780,83,2383,0,080008
A781,91,1338,0,090008
A782,41,287,0,004020
A783,742,22934,0,062008
A784,62,721,85,096003
A785,89,2332,0,037005
A786,33,1434,0,016023
A787,204,1806,0,014007
A788,449,1902,0,034004
A789,242,2773,18,090009
A791,65,701,0,013022
A792,57,1502,0,018014
A793,36,559,0,006015
A794,1057,25954,5,016024
A795,48,1174,0,029006
A796,58,995,0,009010
A798,9,120,0,004021
A799,46,1537,0,017015
A801,415,7738,0,077003
A802,164,2327,0,108007
A804,110,903,0,015019
A805,92,1827,10,004022
A809,260,5104,1,040003
A810,91,1581,0,030010
A811,48,633,0,098002
A812,13,316,316,005009
A813,19,112,0,006016
A815,43,420,0,016025
A816,59,842,821,017016
A817,90,948,0,017017
A818,228,3509,11,108008
A819,44,995,7,012011
A820,69,963,0,015022
A821,27,921,0,022013
A823,40,576,0,033003
A825,106,1645,0,012012
A826,145,3326,0,012013
A827,28,495,0,090010
A831,383,2853,0,033004
A832,152,1901,0,054003
A834,124,707,0,103011
A835,313,3077,0,054004
A836,81,1895,0,011003
A837,36,831,0,023008
A841,686,21560,0,087008
A842,54,2184,0,078016
A843,165,3711,0,080009
A844,63,884,397,003018
A845,40,2071,0,012014
A846,57,473,0,016026
A847,144,1443,0,002011
A848,109,618,0,014008
A849,168,2819,0,108009
A850,147,4098,0,035004
A851,375,6672,0,051004
A852,171,2599,0,049001
A853,80,1742,0,001025
A854,167,3927,0,071006
A855,32,1009,0,030011
A856,52,374,0,095014
A857,154,1395,0,056007
A859,591,15348,0,096004
A861,149,1558,0,017018
A863,40,457,0,022015
A864,190,5648,0,050001
A870,100,989,0,013023
A872,97,1592,0,015024
A874,97,1569,0,072008
A876,30,649,375,096005
A877,86,331,0,007010
A878,87,1126,0,017019
A880,66,744,0,091008
A881,217,6739,0,064011
A882,334,6406,0,082010
A883,673,17538,2,110003
A884,28,870,395,066011
A885,59,1050,1,067007
A887,248,6569,0,078017
A889,67,1686,0,006017
A891,80,1545,0,012015
A892,419,7120,0,072010
A893,867,21435,0,072011
A894,249,4836,0,072012
A895,143,3852,0,091009
A896,201,3264,0,084004
A897,89,3203,0,080010
A898,44,390,0,013024
A902,23,1124,0,022017
A903,13,82,0,016027
A904,33,235,0,013025
A905,8,386,0,013026
A906,48,1379,0,028012
A909,385,4126,0,033005
A910,130,759,0,001026
A911,46,662,0,003019
A912,224,2980,0,078018
A914,66,446,0,002014
A916,62,504,0,022018
A918,68,863,0,012016
A919,41,486,0,098003
A920,98,1334,0,015026
A922,41,1454,0,010004
A925,56,729,0,103012
A929,50,753,16,003021
A930,116,6743,0,070003
A931,61,1547,0,009011
A932,120,3376,0,011004
A937,138,2978,0,016028
A940,336,8733,26,015027
A941,85,1065,0,001027
A942,209,3621,0,077018
A944,1945,77637,76657,037006
A945,81,1619,0,068003
A946,161,2198,0,082011
A947,36,462,0,043005
A948,216,4044,0,091010
A949,230,3758,0,056008
A950,95,1252,0,016029
A952,435,11834,1315,021008
A953,32,496,12,003022
A954,112,3684,0,024013
A955,137,1794,0,056009
A956,60,895,4,069006
A957,63,988,0,085002
A958,137,3804,0,082012
A959,172,3928,0,036002
A960,110,2149,0,095015
A961,88,1402,0,011005
A962,112,1533,0,016031
A963,116,2338,0,016030
A964,85,1779,0,023009
A965,240,8142,4,038003
A968,30,550,0,022021
A970,51,679,0,062009
A971,88,4754,0,070004
A972,44,482,0,019006
A973,152,2528,0,078019
A975,37,2473,0,064012
A976,66,1225,0,090011
A977,174,3677,0,090012
A978,180,3102,0,090013
A979,31,172,0,004023
A981,110,2266,0,057006
A982,35,1184,0,025007
A983,38,596,0,030012
A984,437,6101,0,008008
A986,36,279,0,019007
